Year,Month,Day,Hour (in GMT),Minute,Second,Depth raw (cm),Temperature (deg C),"Depth (baro-corrected, cm)",Discharge (cfs or ft^3/s)
2001,8,18,14,0,0,91.3,9.54,NaN,NaN
2001,8,18,14,30,0,91.6,9.05,NaN,NaN
2001,8,18,15,0,0,92.1,8.44,NaN,NaN
2001,8,18,15,30,0,91.7,8.43,NaN,NaN
2001,8,18,16,0,0,91.8,8.94,NaN,NaN
2001,8,18,16,30,0,91.4,10.52,NaN,NaN
2001,8,18,17,0,0,91.3,13.58,NaN,NaN
2001,8,18,17,30,0,91.8,16.14,NaN,NaN
2001,8,18,18,0,0,91.5,18.09,NaN,NaN
2001,8,18,18,30,0,91.3,19.8,NaN,NaN
2001,8,18,19,0,0,91.1,20.8,NaN,NaN
2001,8,18,19,30,0,91.3,22.06,NaN,NaN
2001,8,18,20,0,0,88.3,23.13,NaN,NaN
2001,8,18,20,30,0,88.7,25.95,NaN,NaN
2001,8,18,21,0,0,123.2,17.85,NaN,NaN
2001,8,18,21,30,0,121.7,17.2,NaN,NaN
2001,8,18,22,0,0,121.5,17.54,NaN,NaN
2001,8,18,22,30,0,120.9,17.91,NaN,NaN
2001,8,18,23,0,0,120.5,18.3,NaN,NaN
2001,8,18,23,30,0,120.3,18.62,NaN,NaN
2001,8,19,0,0,0,119.9,18.8,NaN,NaN
2001,8,19,0,30,0,119.9,18.81,NaN,NaN
2001,8,19,1,0,0,119.7,18.79,NaN,NaN
2001,8,19,1,30,0,119.1,18.69,NaN,NaN
2001,8,19,2,0,0,119.3,18.51,NaN,NaN
2001,8,19,2,30,0,118.7,18.35,NaN,NaN
2001,8,19,3,0,0,119.4,18.16,NaN,NaN
2001,8,19,3,30,0,118.8,17.93,NaN,NaN
2001,8,19,4,0,0,118.7,17.67,NaN,NaN
2001,8,19,4,30,0,118.4,17.41,NaN,NaN
2001,8,19,5,0,0,118.4,17.15,NaN,NaN
2001,8,19,5,30,0,118.7,16.84,NaN,NaN
2001,8,19,6,0,0,118.3,16.51,NaN,NaN
2001,8,19,6,30,0,117.8,16.22,NaN,NaN
2001,8,19,7,0,0,117.9,15.93,NaN,NaN
2001,8,19,7,30,0,118.1,15.61,NaN,NaN
2001,8,19,8,0,0,117.7,15.32,NaN,NaN
2001,8,19,8,30,0,117.1,14.99,NaN,NaN
2001,8,19,9,0,0,116.9,14.72,NaN,NaN
2001,8,19,9,30,0,116.7,14.46,NaN,NaN
2001,8,19,10,0,0,116.9,14.17,NaN,NaN
2001,8,19,10,30,0,116.7,13.92,NaN,NaN
2001,8,19,11,0,0,116.1,13.65,NaN,NaN
2001,8,19,11,30,0,116.7,13.39,NaN,NaN
2001,8,19,12,0,0,116.5,13.16,NaN,NaN
2001,8,19,12,30,0,116.2,12.92,NaN,NaN
2001,8,19,13,0,0,116.4,12.69,NaN,NaN
2001,8,19,13,30,0,116.9,12.46,NaN,NaN
2001,8,19,14,0,0,116.8,12.27,NaN,NaN
2001,8,19,14,30,0,117.4,12.11,NaN,NaN
2001,8,19,15,0,0,118.1,11.99,NaN,NaN
2001,8,19,15,30,0,117.7,11.99,NaN,NaN
2001,8,19,16,0,0,117.7,12.23,NaN,NaN
2001,8,19,16,30,0,118.3,12.51,NaN,NaN
2001,8,19,17,0,0,118.6,12.8,NaN,NaN
2001,8,19,17,30,0,118.3,13.19,NaN,NaN
2001,8,19,18,0,0,119.2,13.56,NaN,NaN
2001,8,19,18,30,0,118.7,14,NaN,NaN
2001,8,19,19,0,0,118.5,14.41,NaN,NaN
2001,8,19,19,30,0,118.7,14.88,NaN,NaN
2001,8,19,20,0,0,118.5,15.43,NaN,NaN
2001,8,19,20,30,0,119.1,16.05,NaN,NaN
2001,8,19,21,0,0,118.7,16.62,NaN,NaN
2001,8,19,21,30,0,118.7,17.07,NaN,NaN
2001,8,19,22,0,0,118.3,17.47,NaN,NaN
2001,8,19,22,30,0,117.9,17.77,NaN,NaN
2001,8,19,23,0,0,117.7,17.99,NaN,NaN
2001,8,19,23,30,0,117.9,18.19,NaN,NaN
2001,8,20,0,0,0,116.9,18.3,NaN,NaN
2001,8,20,0,30,0,117.4,18.37,NaN,NaN
2001,8,20,1,0,0,116.9,18.32,NaN,NaN
2001,8,20,1,30,0,116.3,18.27,NaN,NaN
2001,8,20,2,0,0,116.5,18.13,NaN,NaN
2001,8,20,2,30,0,116.5,17.94,NaN,NaN
2001,8,20,3,0,0,116,17.72,NaN,NaN
2001,8,20,3,30,0,116.8,17.54,NaN,NaN
2001,8,20,4,0,0,116.4,17.27,NaN,NaN
2001,8,20,4,30,0,116.5,17.02,NaN,NaN
2001,8,20,5,0,0,116.7,16.72,NaN,NaN
2001,8,20,5,30,0,115.8,16.43,NaN,NaN
2001,8,20,6,0,0,115.5,16.12,NaN,NaN
2001,8,20,6,30,0,115.7,15.84,NaN,NaN
2001,8,20,7,0,0,115.1,15.52,NaN,NaN
2001,8,20,7,30,0,114.7,15.21,NaN,NaN
2001,8,20,8,0,0,114.6,14.89,NaN,NaN
2001,8,20,8,30,0,114.7,14.63,NaN,NaN
2001,8,20,9,0,0,114.3,14.33,NaN,NaN
2001,8,20,9,30,0,114.5,14.06,NaN,NaN
2001,8,20,10,0,0,114.1,13.8,NaN,NaN
2001,8,20,10,30,0,113.7,13.51,NaN,NaN
2001,8,20,11,0,0,113.5,13.26,NaN,NaN
2001,8,20,11,30,0,113.9,12.99,NaN,NaN
2001,8,20,12,0,0,113.6,12.75,NaN,NaN
2001,8,20,12,30,0,113.5,12.54,NaN,NaN
2001,8,20,13,0,0,114.1,12.29,NaN,NaN
2001,8,20,13,30,0,114.2,12.08,NaN,NaN
2001,8,20,14,0,0,114.4,11.87,NaN,NaN
2001,8,20,14,30,0,114.9,11.71,NaN,NaN
2001,8,20,15,0,0,115.4,11.6,NaN,NaN
2001,8,20,15,30,0,115.3,11.66,NaN,NaN
2001,8,20,16,0,0,115.7,11.85,NaN,NaN
2001,8,20,16,30,0,115.9,12.06,NaN,NaN
2001,8,20,17,0,0,116.1,12.29,NaN,NaN
2001,8,20,17,30,0,116.1,12.62,NaN,NaN
2001,8,20,18,0,0,116.7,13.02,NaN,NaN
2001,8,20,18,30,0,117.1,13.42,NaN,NaN
2001,8,20,19,0,0,116.4,13.79,NaN,NaN
2001,8,20,19,30,0,116.7,14.31,NaN,NaN
2001,8,20,20,0,0,116.9,14.69,NaN,NaN
2001,8,20,20,30,0,116.5,15.23,NaN,NaN
2001,8,20,21,0,0,116.8,15.78,NaN,NaN
2001,8,20,21,30,0,116.3,16.27,NaN,NaN
2001,8,20,22,0,0,116.7,16.74,NaN,NaN
2001,8,20,22,30,0,116,17.04,NaN,NaN
2001,8,20,23,0,0,115.7,17.27,NaN,NaN
2001,8,20,23,30,0,115.3,17.34,NaN,NaN
2001,8,21,0,0,0,115.8,17.41,NaN,NaN
2001,8,21,0,30,0,115.5,17.47,NaN,NaN
2001,8,21,1,0,0,115.3,17.47,NaN,NaN
2001,8,21,1,30,0,115.4,17.38,NaN,NaN
2001,8,21,2,0,0,114.4,17.21,NaN,NaN
2001,8,21,2,30,0,114.5,17.03,NaN,NaN
2001,8,21,3,0,0,114.1,16.81,NaN,NaN
2001,8,21,3,30,0,114.5,16.53,NaN,NaN
2001,8,21,4,0,0,114.2,16.29,NaN,NaN
2001,8,21,4,30,0,113.9,15.99,NaN,NaN
2001,8,21,5,0,0,113.7,15.69,NaN,NaN
2001,8,21,5,30,0,113.9,15.37,NaN,NaN
2001,8,21,6,0,0,113.6,15.07,NaN,NaN
2001,8,21,6,30,0,113.9,14.77,NaN,NaN
2001,8,21,7,0,0,113.7,14.5,NaN,NaN
2001,8,21,7,30,0,113,14.23,NaN,NaN
2001,8,21,8,0,0,113,13.99,NaN,NaN
2001,8,21,8,30,0,112.4,13.75,NaN,NaN
2001,8,21,9,0,0,112.1,13.46,NaN,NaN
2001,8,21,9,30,0,112.3,13.14,NaN,NaN
2001,8,21,10,0,0,112.1,12.86,NaN,NaN
2001,8,21,10,30,0,111.9,12.55,NaN,NaN
2001,8,21,11,0,0,111.8,12.25,NaN,NaN
2001,8,21,11,30,0,111.3,11.99,NaN,NaN
2001,8,21,12,0,0,111.4,11.74,NaN,NaN
2001,8,21,12,30,0,111.3,11.52,NaN,NaN
2001,8,21,13,0,0,111.6,11.31,NaN,NaN
2001,8,21,13,30,0,111.5,11.08,NaN,NaN
2001,8,21,14,0,0,111.8,10.83,NaN,NaN
2001,8,21,14,30,0,112.5,10.63,NaN,NaN
2001,8,21,15,0,0,112.4,10.52,NaN,NaN
2001,8,21,15,30,0,112.3,10.53,NaN,NaN
2001,8,21,16,0,0,111.9,10.66,NaN,NaN
2001,8,21,16,30,0,112.2,10.91,NaN,NaN
2001,8,21,17,0,0,112.5,11.2,NaN,NaN
2001,8,21,17,30,0,112.7,11.46,NaN,NaN
2001,8,21,18,0,0,112.7,11.67,NaN,NaN
2001,8,21,18,30,0,112.8,12.04,NaN,NaN
2001,8,21,19,0,0,112.5,12.55,NaN,NaN
2001,8,21,19,30,0,112.5,13.09,NaN,NaN
2001,8,21,20,0,0,112.9,13.67,NaN,NaN
2001,8,21,20,30,0,112.5,14.21,NaN,NaN
2001,8,21,21,0,0,112.2,14.73,NaN,NaN
2001,8,21,21,30,0,112.2,15.27,NaN,NaN
2001,8,21,22,0,0,112.5,15.75,NaN,NaN
2001,8,21,22,30,0,111.7,16.17,NaN,NaN
2001,8,21,23,0,0,112,16.52,NaN,NaN
2001,8,21,23,30,0,111.9,16.83,NaN,NaN
2001,8,22,0,0,0,111.3,17.03,NaN,NaN
2001,8,22,0,30,0,111.7,17.09,NaN,NaN
2001,8,22,1,0,0,111.3,17.13,NaN,NaN
2001,8,22,1,30,0,111.3,17.08,NaN,NaN
2001,8,22,2,0,0,110.9,16.93,NaN,NaN
2001,8,22,2,30,0,111.3,16.76,NaN,NaN
2001,8,22,3,0,0,111.9,16.59,NaN,NaN
2001,8,22,3,30,0,111.9,16.4,NaN,NaN
2001,8,22,4,0,0,111.7,16.18,NaN,NaN
2001,8,22,4,30,0,111.9,15.97,NaN,NaN
2001,8,22,5,0,0,111.7,15.71,NaN,NaN
2001,8,22,5,30,0,111.5,15.44,NaN,NaN
2001,8,22,6,0,0,111.5,15.15,NaN,NaN
2001,8,22,6,30,0,111.7,14.85,NaN,NaN
2001,8,22,7,0,0,111.8,14.55,NaN,NaN
2001,8,22,7,30,0,111.7,14.23,NaN,NaN
2001,8,22,8,0,0,111.5,13.94,NaN,NaN
2001,8,22,8,30,0,111.3,13.62,NaN,NaN
2001,8,22,9,0,0,110.6,13.3,NaN,NaN
2001,8,22,9,30,0,110.4,13,NaN,NaN
2001,8,22,10,0,0,110.1,12.73,NaN,NaN
2001,8,22,10,30,0,110.7,12.43,NaN,NaN
2001,8,22,11,0,0,110.9,12.17,NaN,NaN
2001,8,22,11,30,0,111,11.88,NaN,NaN
2001,8,22,12,0,0,110.7,11.63,NaN,NaN
2001,8,22,12,30,0,110.8,11.36,NaN,NaN
2001,8,22,13,0,0,110.7,11.11,NaN,NaN
2001,8,22,13,30,0,110.8,10.86,NaN,NaN
2001,8,22,14,0,0,110.8,10.64,NaN,NaN
2001,8,22,14,30,0,110.9,10.45,NaN,NaN
2001,8,22,15,0,0,111.3,10.41,NaN,NaN
2001,8,22,15,30,0,111.3,10.4,NaN,NaN
2001,8,22,16,0,0,110.7,10.6,NaN,NaN
2001,8,22,16,30,0,110.7,10.87,NaN,NaN
2001,8,22,17,0,0,110.5,11.17,NaN,NaN
2001,8,22,17,30,0,110.9,11.57,NaN,NaN
2001,8,22,18,0,0,111.1,11.97,NaN,NaN
2001,8,22,18,30,0,111.3,12.39,NaN,NaN
2001,8,22,19,0,0,111,12.83,NaN,NaN
2001,8,22,19,30,0,111.3,13.25,NaN,NaN
2001,8,22,20,0,0,111.3,13.71,NaN,NaN
2001,8,22,20,30,0,111.7,14.19,NaN,NaN
2001,8,22,21,0,0,111.7,14.71,NaN,NaN
2001,8,22,21,30,0,111.5,15.21,NaN,NaN
2001,8,22,22,0,0,111.3,15.7,NaN,NaN
2001,8,22,22,30,0,111.9,16.14,NaN,NaN
2001,8,22,23,0,0,111.5,16.45,NaN,NaN
2001,8,22,23,30,0,111.3,16.73,NaN,NaN
2001,8,23,0,0,0,111.8,16.87,NaN,NaN
2001,8,23,0,30,0,111.7,16.95,NaN,NaN
2001,8,23,1,0,0,111.5,16.99,NaN,NaN
2001,8,23,1,30,0,111.7,16.94,NaN,NaN
2001,8,23,2,0,0,111.7,16.79,39.4,11.179
2001,8,23,2,30,0,111.4,16.61,38.8,10.673
2001,8,23,3,0,0,111.4,16.39,38.7,10.59
2001,8,23,3,30,0,111.3,16.23,38.5,10.426
2001,8,23,4,0,0,111.6,16.04,38.6,10.508
2001,8,23,4,30,0,111.8,15.83,38.6,10.508
2001,8,23,5,0,0,111.4,15.57,38.3,10.263
2001,8,23,5,30,0,111.7,15.31,38.5,10.426
2001,8,23,6,0,0,111.3,15.05,38.2,10.183
2001,8,23,6,30,0,111.3,14.75,37.8,9.8639
2001,8,23,7,0,0,111.5,14.44,38,10.022
2001,8,23,7,30,0,111.4,14.12,37.9,9.9429
2001,8,23,8,0,0,111.8,13.84,38.4,10.344
2001,8,23,8,30,0,111.3,13.57,37.9,9.9429
2001,8,23,9,0,0,110.8,13.23,37.8,9.8639
2001,8,23,9,30,0,110.6,12.93,37.3,9.4751
2001,8,23,10,0,0,110.8,12.64,37.5,9.6294
2001,8,23,10,30,0,110.9,12.33,37.7,9.7853
2001,8,23,11,0,0,110.5,12.03,37.2,9.3986
2001,8,23,11,30,0,110.7,11.76,37.4,9.552
2001,8,23,12,0,0,110.9,11.45,37.1,9.3224
2001,8,23,12,30,0,110.4,11.19,36.8,9.0966
2001,8,23,13,0,0,110.7,10.92,36.8,9.0966
2001,8,23,13,30,0,110.5,10.66,36.5,8.8744
2001,8,23,14,0,0,110.9,10.41,36.6,8.9481
2001,8,23,14,30,0,111.1,10.2,36.7,9.0221
2001,8,23,15,0,0,110.3,10.12,36,8.5122
2001,8,23,15,30,0,110.5,10.11,36.3,8.7283
2001,8,23,16,0,0,110.7,10.31,36.4,8.8012
2001,8,23,16,30,0,110.7,10.59,36.4,8.8012
2001,8,23,17,0,0,110.4,10.95,36.4,8.8012
2001,8,23,17,30,0,110.9,11.37,37.1,9.3224
2001,8,23,18,0,0,111,11.82,37.2,9.3986
2001,8,23,18,30,0,111.1,12.28,37.5,9.6294
2001,8,23,19,0,0,111.2,12.77,37.4,9.552
2001,8,23,19,30,0,111.5,13.23,38,10.022
2001,8,23,20,0,0,111.5,13.73,38.2,10.183
2001,8,23,20,30,0,111.5,14.24,38.3,10.263
2001,8,23,21,0,0,111.3,14.67,38,10.022
2001,8,23,21,30,0,111.2,15.23,38.3,10.263
2001,8,23,22,0,0,111.1,15.71,38.3,10.263
2001,8,23,22,30,0,110.8,16.16,38.5,10.426
2001,8,23,23,0,0,111.3,16.56,38.7,10.59
2001,8,23,23,30,0,111.5,16.86,38.9,10.756
2001,8,24,0,0,0,110.7,17.07,38.4,10.344
2001,8,24,0,30,0,111.1,17.2,38.7,10.59
2001,8,24,1,0,0,110.7,17.24,38,10.022
2001,8,24,1,30,0,111.3,17.22,38.7,10.59
2001,8,24,2,0,0,111.5,17.12,38.9,10.756
2001,8,24,2,30,0,111.3,16.99,38.9,10.756
2001,8,24,3,0,0,111.7,16.83,38.6,10.508
2001,8,24,3,30,0,111.8,16.68,38.5,10.426
2001,8,24,4,0,0,111.3,16.49,37.6,9.7071
2001,8,24,4,30,0,112,16.29,38.2,10.183
2001,8,24,5,0,0,111.7,16.09,37.7,9.7853
2001,8,24,5,30,0,111.7,15.88,38.1,10.102
2001,8,24,6,0,0,111.3,15.66,37.8,9.8639
2001,8,24,6,30,0,111,15.41,37.8,9.8639
2001,8,24,7,0,0,111.5,15.17,38.1,10.102
2001,8,24,7,30,0,111.4,14.94,38.1,10.102
2001,8,24,8,0,0,110.9,14.69,37.7,9.7853
2001,8,24,8,30,0,111.1,14.44,37.5,9.6294
2001,8,24,9,0,0,110.5,14.25,37.3,9.4751
2001,8,24,9,30,0,109.9,14,36.9,9.1715
2001,8,24,10,0,0,110,13.76,36.8,9.0966
2001,8,24,10,30,0,110,13.53,37,9.2467
2001,8,24,11,0,0,110.1,13.3,37.2,9.3986
2001,8,24,11,30,0,109.5,13.02,36.9,9.1715
2001,8,24,12,0,0,109.6,12.78,36.8,9.0966
2001,8,24,12,30,0,109.9,12.51,37,9.2467
2001,8,24,13,0,0,109.9,12.25,36.8,9.0966
2001,8,24,13,30,0,109.9,12.03,37.1,9.3224
2001,8,24,14,0,0,110.2,11.81,37,9.2467
2001,8,24,14,30,0,110.2,11.63,37,9.2467
2001,8,24,15,0,0,109.8,11.53,36.9,9.1715
2001,8,24,15,30,0,109.7,11.57,36.4,8.8012
2001,8,24,16,0,0,109.9,11.79,36.9,9.1715
2001,8,24,16,30,0,109.9,12.06,37,9.2467
2001,8,24,17,0,0,109.7,12.46,37.2,9.3986
2001,8,24,17,30,0,109.9,12.91,37.3,9.4751
2001,8,24,18,0,0,110.1,13.36,37.5,9.6294
2001,8,24,18,30,0,110.3,13.84,37.6,9.7071
2001,8,24,19,0,0,110.8,14.34,38.2,10.183
2001,8,24,19,30,0,110.8,14.89,38.6,10.508
2001,8,24,20,0,0,110.9,15.44,38.8,10.673
2001,8,24,20,30,0,111.2,15.99,38.5,10.426
2001,8,24,21,0,0,110.6,16.54,38.4,10.344
2001,8,24,21,30,0,110.9,17.11,38.2,10.183
2001,8,24,22,0,0,110.6,17.61,38,10.022
2001,8,24,22,30,0,110.7,18.03,38.5,10.426
2001,8,24,23,0,0,110.9,18.43,38.5,10.426
2001,8,24,23,30,0,110.8,18.73,38.3,10.263
2001,8,25,0,0,0,111.1,18.96,38.9,10.756
2001,8,25,0,30,0,110.5,19.07,38.3,10.263
2001,8,25,1,0,0,110.9,19.11,38.4,10.344
2001,8,25,1,30,0,111.1,19.05,38.4,10.344
2001,8,25,2,0,0,111.3,18.91,38.7,10.59
2001,8,25,2,30,0,111.3,18.74,38.9,10.756
2001,8,25,3,0,0,111.3,18.56,38.7,10.59
2001,8,25,3,30,0,111.1,18.33,37.9,9.9429
2001,8,25,4,0,0,111.9,18.12,38.8,10.673
2001,8,25,4,30,0,112.1,17.86,38.7,10.59
2001,8,25,5,0,0,111.9,17.57,38.4,10.344
2001,8,25,5,30,0,111.7,17.28,38.2,10.183
2001,8,25,6,0,0,111.7,17,37.9,9.9429
2001,8,25,6,30,0,112.1,16.67,38.3,10.263
2001,8,25,7,0,0,111.7,16.35,37.9,9.9429
2001,8,25,7,30,0,112.1,16.04,38.5,10.426
2001,8,25,8,0,0,111.4,15.73,37.8,9.8639
2001,8,25,8,30,0,111.5,15.39,37.8,9.8639
2001,8,25,9,0,0,111.5,15.11,37.6,9.7071
2001,8,25,9,30,0,110.9,14.77,37.3,9.4751
2001,8,25,10,0,0,111.4,14.48,38,10.022
2001,8,25,10,30,0,111,14.17,37.3,9.4751
2001,8,25,11,0,0,110.6,13.87,37.2,9.3986
2001,8,25,11,30,0,110.7,13.59,37.1,9.3224
2001,8,25,12,0,0,110.7,13.29,37.2,9.3986
2001,8,25,12,30,0,110.8,13.01,37.3,9.4751
2001,8,25,13,0,0,111.1,12.76,37.2,9.3986
2001,8,25,13,30,0,110.8,12.49,36.8,9.0966
2001,8,25,14,0,0,111.5,12.25,37.2,9.3986
2001,8,25,14,30,0,111.6,12.04,37.3,9.4751
2001,8,25,15,0,0,111.3,11.94,37.2,9.3986
2001,8,25,15,30,0,111.1,11.97,36.7,9.0221
2001,8,25,16,0,0,111.4,12.13,36.9,9.1715
2001,8,25,16,30,0,111.1,12.46,37.1,9.3224
2001,8,25,17,0,0,111.7,12.8,37.7,9.7853
2001,8,25,17,30,0,111.9,13.21,38.1,10.102
2001,8,25,18,0,0,111.9,13.63,38.1,10.102
2001,8,25,18,30,0,112.4,14.09,39.2,11.009
2001,8,25,19,0,0,112.3,14.55,39.2,11.009
2001,8,25,19,30,0,112.4,15.05,39.3,11.094
2001,8,25,20,0,0,112.9,15.61,39.8,11.526
2001,8,25,20,30,0,112.6,16.19,39.1,10.924
2001,8,25,21,0,0,112.7,16.75,39.3,11.094
2001,8,25,21,30,0,113.2,17.3,39.9,11.613
2001,8,25,22,0,0,112.9,17.79,39.8,11.526
2001,8,25,22,30,0,113.3,18.19,40.3,11.968
2001,8,25,23,0,0,112.9,18.57,40,11.701
2001,8,25,23,30,0,112.5,18.88,39.4,11.179
2001,8,26,0,0,0,113.1,19.1,40.2,11.879
2001,8,26,0,30,0,112.8,19.21,39.9,11.613
2001,8,26,1,0,0,112.5,19.25,39.5,11.265
2001,8,26,1,30,0,112.9,19.17,39.7,11.438
2001,8,26,2,0,0,112.8,19.03,39.7,11.438
2001,8,26,2,30,0,112.9,18.85,39.5,11.265
2001,8,26,3,0,0,112.9,18.67,39.2,11.009
2001,8,26,3,30,0,113.1,18.47,39.3,11.094
2001,8,26,4,0,0,113.4,18.23,38.8,10.673
2001,8,26,4,30,0,113.6,17.98,39.1,10.924
2001,8,26,5,0,0,113.7,17.74,39.2,11.009
2001,8,26,5,30,0,113.9,17.45,39.2,11.009
2001,8,26,6,0,0,114.1,17.16,39.3,11.094
2001,8,26,6,30,0,113.9,16.89,39.1,10.924
2001,8,26,7,0,0,113.7,16.59,39.1,10.924
2001,8,26,7,30,0,113.9,16.29,39.2,11.009
2001,8,26,8,0,0,113.5,15.97,38.3,10.263
2001,8,26,8,30,0,113.2,15.66,38.2,10.183
2001,8,26,9,0,0,113.1,15.4,38.3,10.263
2001,8,26,9,30,0,113.2,15.07,38.3,10.263
2001,8,26,10,0,0,113.1,14.79,38.1,10.102
2001,8,26,10,30,0,113.5,14.49,38.6,10.508
2001,8,26,11,0,0,112.7,14.21,37.6,9.7071
2001,8,26,11,30,0,113.1,13.96,38.2,10.183
2001,8,26,12,0,0,112.8,13.67,38.2,10.183
2001,8,26,12,30,0,112.8,13.39,37.8,9.8639
2001,8,26,13,0,0,113.1,13.15,38.1,10.102
2001,8,26,13,30,0,113,12.89,38.1,10.102
2001,8,26,14,0,0,113.4,12.65,37.8,9.8639
2001,8,26,14,30,0,113.6,12.48,38.1,10.102
2001,8,26,15,0,0,113.1,12.41,38,10.022
2001,8,26,15,30,0,113.9,12.42,38.5,10.426
2001,8,26,16,0,0,113.3,12.59,37.7,9.7853
2001,8,26,16,30,0,113.6,12.87,38,10.022
2001,8,26,17,0,0,114.3,13.22,38.4,10.344
2001,8,26,17,30,0,114.3,13.62,39.2,11.009
2001,8,26,18,0,0,114.7,14,39.4,11.179
2001,8,26,18,30,0,114.9,14.44,39.7,11.438
2001,8,26,19,0,0,115.3,14.92,40.1,11.79
2001,8,26,19,30,0,115.4,15.45,40.2,11.879
2001,8,26,20,0,0,115.2,16.01,40.3,11.968
2001,8,26,20,30,0,115.3,16.53,40.4,12.058
2001,8,26,21,0,0,115.4,17.11,40.3,11.968
2001,8,26,21,30,0,115.6,17.67,40.3,11.968
2001,8,26,22,0,0,115.4,18.19,40.2,11.879
2001,8,26,22,30,0,115.5,18.66,40.9,12.514
2001,8,26,23,0,0,115.1,19.07,40.3,11.968
2001,8,26,23,30,0,115.2,19.35,40,11.701
2001,8,27,0,0,0,114.9,19.54,40.1,11.79
2001,8,27,0,30,0,115.2,19.61,40.2,11.879
2001,8,27,1,0,0,115.5,19.63,40.5,12.148
2001,8,27,1,30,0,115.8,19.56,40.7,12.33
2001,8,27,2,0,0,115.7,19.41,40.8,12.422
2001,8,27,2,30,0,115.5,19.25,40.2,11.879
2001,8,27,3,0,0,115.7,19.03,40.2,11.879
2001,8,27,3,30,0,116,18.83,40.3,11.968
2001,8,27,4,0,0,116.1,18.58,39.9,11.613
2001,8,27,4,30,0,116.1,18.33,39.6,11.352
2001,8,27,5,0,0,116.6,18.06,40,11.701
2001,8,27,5,30,0,116.1,17.76,39.2,11.009
2001,8,27,6,0,0,116.3,17.47,39.8,11.526
2001,8,27,6,30,0,115.8,17.15,39.4,11.179
2001,8,27,7,0,0,115.9,16.85,39,10.84
2001,8,27,7,30,0,116.1,16.56,39.3,11.094
2001,8,27,8,0,0,115.8,16.22,39.1,10.924
2001,8,27,8,30,0,115.5,15.94,38.4,10.344
2001,8,27,9,0,0,115.3,15.65,38.9,10.756
2001,8,27,9,30,0,115.3,15.32,38.9,10.756
2001,8,27,10,0,0,114.9,15.02,38.3,10.263
2001,8,27,10,30,0,114.7,14.71,38.4,10.344
2001,8,27,11,0,0,114.9,14.46,38.7,10.59
2001,8,27,11,30,0,114.3,14.14,38.2,10.183
2001,8,27,12,0,0,114.5,13.88,38.4,10.344
2001,8,27,12,30,0,114.2,13.61,38.4,10.344
2001,8,27,13,0,0,114.3,13.35,38.5,10.426
2001,8,27,13,30,0,114.5,13.09,38.8,10.673
2001,8,27,14,0,0,114.9,12.87,38.4,10.344
2001,8,27,14,30,0,115.3,12.68,38.9,10.756
2001,8,27,15,0,0,115.1,12.58,38.6,10.508
2001,8,27,15,30,0,115.5,12.6,39,10.84
2001,8,27,16,0,0,115.4,12.72,39.4,11.179
2001,8,27,16,30,0,115.5,13.01,39.1,10.924
2001,8,27,17,0,0,115.7,13.34,39.9,11.613
