date(yyyy/mm/dd), Estimated_unimpaired_flow_into_HetchHetchy(cubic_meters_per_second)
1970/08/13,  3.96
1970/08/14,  4.25
1970/08/15,  4.25
1970/08/16,  4.25
1970/08/17,  2.83
1970/08/18,  3.11
1970/08/19,  3.11
1970/08/20,  3.40
1970/08/21,  3.11
1970/08/22,  1.81
1970/08/23,  1.73
1970/08/24,  1.98
1970/08/25,  1.70
1970/08/26,  1.36
1970/08/27,  1.13
1970/08/28,  0.96
1970/08/29,  1.08
1970/08/30,  1.08
1970/08/31,  0.68
1970/09/01,  0.51
1970/09/02,  0.90
1970/09/03,  0.79
1970/09/04,  0.79
1970/09/05,  0.79
1970/09/06,  1.70
1970/09/07,  1.98
1970/09/08,  1.98
1970/09/09,  2.27
1970/09/10,  2.27
1970/09/11,  1.98
1970/09/12,  2.27
1970/09/13,  2.27
1970/09/14,  1.98
1970/09/15,  1.42
1970/09/16,  0.96
1970/09/17,  0.79
1970/09/18,  0.79
1970/09/19,  0.79
1970/09/20,  0.79
1970/09/21,  0.68
1970/09/22,  0.79
1970/09/23,  0.88
1970/09/24,  0.68
1970/09/25,  0.67
1970/09/26,  0.79
1970/09/27,  0.79
1970/09/28,  0.79
1970/09/29,  0.59
1970/09/30,  0.88
1970/10/01,  1.53
1970/10/02,  1.25
1970/10/03,  1.42
1970/10/04,  1.53
1970/10/05,  1.25
1970/10/06,  1.48
1970/10/07,  1.44
1970/10/08,  1.36
1970/10/09,  1.64
1970/10/10,  1.42
1970/10/11,  1.44
1970/10/12,  1.36
1970/10/13,  1.19
1970/10/14,  1.36
1970/10/15,  1.64
1970/10/16,  1.36
1970/10/17,  1.36
1970/10/18,  1.53
1970/10/19,  1.36
1970/10/20,  1.25
1970/10/21,  1.34
1970/10/22,  1.42
1970/10/23,  1.42
1970/10/24,  1.53
1970/10/25,  1.64
1970/10/26,  1.36
1970/10/27,  1.44
1970/10/28,  1.48
1970/10/29,  0.85
1970/10/30,  0.85
1970/10/31,  1.53
1970/11/01,  1.53
1970/11/02,  1.36
1970/11/03,  1.25
1970/11/04,  2.58
1970/11/05,  3.82
1970/11/06,  4.84
1970/11/07,  5.24
1970/11/08,  5.32
1970/11/09,  4.84
1970/11/10,  5.12
1970/11/11,  5.04
1970/11/12,  5.12
1970/11/13,  4.67
1970/11/14,  4.84
1970/11/15,  4.84
1970/11/16,  4.67
1970/11/17,  4.76
1970/11/18,  4.47
1970/11/19,  4.67
1970/11/20,  4.47
1970/11/21,  4.28
1970/11/22,  3.54
1970/11/23,  3.14
1970/11/24,  5.96
1970/11/25, 36.52
1970/11/26, 51.81
1970/11/27, 29.73
1970/11/28, 20.95
1970/11/29, 25.20
1970/11/30, 20.39
1970/12/01, 18.40
1970/12/02, 18.97
1970/12/03, 18.69
1970/12/04, 16.70
1970/12/05, 15.86
1970/12/06, 16.14
1970/12/07, 16.22
1970/12/08, 26.61
1970/12/09, 24.92
1970/12/10, 20.39
1970/12/11, 16.19
1970/12/12, 15.01
1970/12/13, 13.87
1970/12/14, 11.95
1970/12/15, 11.66
1970/12/16, 11.01
1970/12/17, 10.82
1970/12/18, 10.36
1970/12/19, 10.08
1970/12/20,  9.88
1970/12/21,  9.40
1970/12/22,  8.42
1970/12/23,  8.22
1970/12/24,  7.70
1970/12/25,  7.79
1970/12/26,  7.79
1970/12/27,  7.62
1970/12/28,  7.30
1970/12/29,  7.02
1970/12/30,  7.13
1970/12/31,  6.94
1971/01/01,  6.46
1971/01/02,  6.00
1971/01/03,  5.52
1971/01/04,  5.04
1971/01/05,  4.84
1971/01/06,  5.95
1971/01/07,  6.23
1971/01/08,  5.95
1971/01/09,  6.23
1971/01/10,  6.51
1971/01/11,  6.51
1971/01/12,  7.64
1971/01/13,  9.63
1971/01/14,  9.06
1971/01/15,  7.08
1971/01/16,  8.27
1971/01/17, 20.81
1971/01/18, 33.98
1971/01/19, 39.92
1971/01/20, 32.28
1971/01/21, 26.29
1971/01/22, 20.39
1971/01/23, 19.16
1971/01/24, 16.44
1971/01/25, 13.87
1971/01/26, 13.50
1971/01/27, 13.59
1971/01/28, 13.87
1971/01/29, 14.72
1971/01/30, 15.01
1971/01/31, 14.72
1971/02/01, 14.72
1971/02/02, 13.39
1971/02/03, 12.83
1971/02/04, 12.06
1971/02/05, 10.93
1971/02/06, 10.45
1971/02/07,  9.97
1971/02/08,  9.60
1971/02/09, 10.19
1971/02/10, 10.85
1971/02/11, 15.50
1971/02/12, 19.62
1971/02/13, 22.40
1971/02/14, 23.70
1971/02/15, 23.70
1971/02/16, 20.84
1971/02/17, 13.84
1971/02/18, 12.53
1971/02/19, 11.49
1971/02/20, 10.93
1971/02/21, 10.08
1971/02/22,  9.91
1971/02/23, 10.76
1971/02/24,  9.91
1971/02/25,  9.34
1971/02/26,  7.93
1971/02/27,  6.85
1971/02/28,  6.09
1971/03/01,  5.61
1971/03/02,  5.66
1971/03/03,  6.51
1971/03/04,  6.80
1971/03/05,  5.95
1971/03/06,  5.25
1971/03/07,  5.17
1971/03/08,  6.51
1971/03/09,  5.95
1971/03/10,  6.80
1971/03/11,  6.80
1971/03/12,  7.93
1971/03/13,  8.49
1971/03/14,  7.93
1971/03/15,  8.49
1971/03/16,  8.49
1971/03/17,  9.63
1971/03/18,  9.63
1971/03/19, 11.33
1971/03/20, 13.02
1971/03/21, 15.29
1971/03/22, 17.93
1971/03/23, 18.40
1971/03/24, 16.50
1971/03/25, 30.81
1971/03/26, 50.96
1971/03/27, 37.09
1971/03/28, 28.88
1971/03/29, 23.22
1971/03/30, 22.65
1971/03/31, 30.58
1971/04/01, 27.46
1971/04/02, 22.08
1971/04/03, 20.95
1971/04/04, 29.16
1971/04/05, 34.26
1971/04/06, 35.67
1971/04/07, 28.60
1971/04/08, 25.48
1971/04/09, 23.78
1971/04/10, 28.88
1971/04/11, 32.56
1971/04/12, 33.69
1971/04/13, 41.62
1971/04/14, 36.52
1971/04/15, 36.52
1971/04/16, 45.02
1971/04/17, 49.26
1971/04/18, 34.94
1971/04/19, 28.88
1971/04/20, 26.90
1971/04/21, 23.50
1971/04/22, 19.82
1971/04/23, 18.69
1971/04/24, 15.86
1971/04/25, 15.57
1971/04/26, 15.57
1971/04/27, 16.14
1971/04/28, 22.03
1971/04/29, 25.71
1971/04/30, 35.59
1971/05/01, 48.89
1971/05/02, 61.16
1971/05/03, 49.26
1971/05/04, 43.26
1971/05/05, 39.64
1971/05/06, 41.62
1971/05/07, 45.30
1971/05/08, 39.35
1971/05/09, 29.73
1971/05/10, 53.23
1971/05/11, 80.69
1971/05/12, 94.00
1971/05/13, 92.30
1971/05/14, 115.01
1971/05/15, 134.20
1971/05/16, 125.71
1971/05/17, 95.98
1971/05/18, 71.06
1971/05/19, 93.43
1971/05/20, 105.04
1971/05/21, 102.21
1971/05/22, 83.83
1971/05/23, 83.75
1971/05/24, 107.59
1971/05/25, 121.46
1971/05/26, 126.84
1971/05/27, 97.40
1971/05/28, 78.99
1971/05/29, 64.55
1971/05/30, 61.16
1971/05/31, 44.73
1971/06/01, 41.62
1971/06/02, 45.87
1971/06/03, 54.60
1971/06/04, 74.75
1971/06/05, 96.19
1971/06/06, 124.82
1971/06/07, 151.01
1971/06/08, 167.62
1971/06/09, 159.22
1971/06/10, 153.23
1971/06/11, 151.86
1971/06/12, 157.42
1971/06/13, 172.71
1971/06/14, 152.89
1971/06/15, 157.70
1971/06/16, 159.68
1971/06/17, 134.20
1971/06/18, 120.61
1971/06/19, 126.84
1971/06/20, 134.20
1971/06/21, 146.66
1971/06/22, 133.13
1971/06/23, 120.87
1971/06/24, 118.91
1971/06/25, 112.04
1971/06/26, 133.64
1971/06/27, 134.86
1971/06/28, 116.01
1971/06/29, 89.26
1971/06/30, 68.23
1971/07/01, 67.38
1971/07/02, 69.08
1971/07/03, 65.40
1971/07/04, 56.91
1971/07/05, 54.36
1971/07/06, 52.10
1971/07/07, 46.43
1971/07/08, 41.90
1971/07/09, 37.94
1971/07/10, 35.39
1971/07/11, 33.13
1971/07/12, 29.73
1971/07/13, 28.31
1971/07/14, 29.73
1971/07/15, 30.58
1971/07/16, 34.54
1971/07/17, 35.96
1971/07/18, 36.52
1971/07/19, 32.56
1971/07/20, 29.16
1971/07/21, 25.76
1971/07/22, 27.75
1971/07/23, 21.52
1971/07/24, 16.14
1971/07/25, 16.99
1971/07/26, 15.57
1971/07/27, 14.72
1971/07/28, 15.29
1971/07/29, 14.44
1971/07/30, 13.59
1971/07/31, 12.46
1971/08/01, 12.17
1971/08/02, 12.17
1971/08/03, 11.61
1971/08/04, 11.61
1971/08/05, 11.33
1971/08/06,  9.63
1971/08/07,  7.08
1971/08/08,  6.23
1971/08/09,  5.66
1971/08/10,  5.80
1971/08/11,  5.44
1971/08/12,  5.17
1971/08/13,  4.84
1971/08/14,  6.80
1971/08/15,  6.23
1971/08/16,  5.38
1971/08/17,  4.76
1971/08/18,  3.54
1971/08/19,  3.06
1971/08/20,  2.97
1971/08/21,  2.66
1971/08/22,  2.86
1971/08/23,  2.49
1971/08/24,  2.66
1971/08/25,  2.49
1971/08/26,  2.49
1971/08/27,  2.38
1971/08/28,  2.21
1971/08/29,  2.21
1971/08/30,  1.93
1971/08/31,  2.01
1971/09/01,  2.10
1971/09/02,  2.01
1971/09/03,  1.73
1971/09/04,  1.81
1971/09/05,  2.01
1971/09/06,  2.10
1971/09/07,  2.10
1971/09/08,  1.42
1971/09/09,  1.93
1971/09/10,  1.93
1971/09/11,  1.64
1971/09/12,  1.93
1971/09/13,  1.93
1971/09/14,  1.64
1971/09/15,  1.59
1971/09/16,  1.64
1971/09/17,  1.53
1971/09/18,  1.64
1971/09/19,  1.64
1971/09/20,  1.44
1971/09/21,  1.53
1971/09/22,  1.36
1971/09/23,  1.36
1971/09/24,  1.36
1971/09/25,  1.25
1971/09/26,  1.36
1971/09/27,  1.08
1971/09/28,  1.31
1971/09/29,  1.08
1971/09/30,  1.42
1971/10/01,  2.01
1971/10/02,  2.01
1971/10/03,  2.01
1971/10/04,  1.93
1971/10/05,  2.01
1971/10/06,  1.93
1971/10/07,  2.01
1971/10/08,  2.01
1971/10/09,  2.01
1971/10/10,  1.93
1971/10/11,  2.01
1971/10/12,  2.01
1971/10/13,  1.93
1971/10/14,  1.93
1971/10/15,  1.93
1971/10/16,  1.93
1971/10/17,  1.93
1971/10/18,  1.93
1971/10/19,  1.93
1971/10/20,  1.93
1971/10/21,  1.81
1971/10/22,  2.01
1971/10/23,  1.93
1971/10/24,  1.93
1971/10/25,  1.93
1971/10/26,  1.81
1971/10/27,  1.93
1971/10/28,  2.01
1971/10/29,  2.01
1971/10/30,  2.10
1971/10/31,  2.01
1971/11/01,  2.01
1971/11/02,  1.93
1971/11/03,  1.93
1971/11/04,  1.81
1971/11/05,  1.93
1971/11/06,  2.01
1971/11/07,  1.81
1971/11/08,  1.93
1971/11/09,  2.01
1971/11/10,  2.01
1971/11/11, 12.95
1971/11/12, 19.95
1971/11/13,  8.70
1971/11/14,  4.19
1971/11/15,  2.97
1971/11/16,  2.58
1971/11/17,  2.49
1971/11/18,  2.49
1971/11/19,  2.38
1971/11/20,  2.38
1971/11/21,  2.27
1971/11/22,  2.21
1971/11/23,  2.21
1971/11/24,  1.81
1971/11/25,  2.01
1971/11/26,  1.73
1971/11/27,  4.05
1971/11/28,  9.60
1971/11/29,  6.82
1971/11/30,  5.80
1971/12/01,  4.53
1971/12/02,  4.30
1971/12/03,  5.04
1971/12/04,  5.04
1971/12/05,  5.80
1971/12/06,  5.80
1971/12/07,  4.78
1971/12/08,  4.30
1971/12/09,  3.54
1971/12/10,  4.05
1971/12/11,  5.04
1971/12/12,  4.78
1971/12/13,  5.29
1971/12/14,  4.53
1971/12/15,  3.40
1971/12/16,  3.40
1971/12/17,  5.80
1971/12/18,  4.78
1971/12/19,  3.14
1971/12/20,  2.77
1971/12/21,  3.79
1971/12/22, 31.80
1971/12/23, 20.70
1971/12/24, 16.99
1971/12/25, 13.87
1971/12/26, 12.63
1971/12/27, 11.10
1971/12/28, 10.11
1971/12/29,  9.06
1971/12/30,  8.92
1971/12/31,  8.64
1972/01/01,  8.07
1972/01/02,  7.83
1972/01/03,  7.62
1972/01/04,  7.50
1972/01/05,  8.58
1972/01/06,  6.57
1972/01/07,  6.09
1972/01/08,  5.61
1972/01/09,  5.32
1972/01/10,  5.12
1972/01/11,  4.53
1972/01/12,  4.74
1972/01/13,  4.74
1972/01/14,  5.66
1972/01/15,  5.80
1972/01/16,  5.80
1972/01/17,  5.29
1972/01/18,  5.66
1972/01/19,  4.78
1972/01/20,  4.30
1972/01/21,  5.66
1972/01/22,  5.66
1972/01/23,  5.04
1972/01/24,  4.53
1972/01/25,  5.04
1972/01/26,  3.79
1972/01/27,  3.54
1972/01/28,  5.29
1972/01/29,  5.29
1972/01/30,  5.80
1972/01/31,  5.29
1972/02/01,  5.80
1972/02/02,  4.78
1972/02/03,  5.04
1972/02/04,  5.66
1972/02/05,  5.29
1972/02/06,  5.29
1972/02/07,  4.30
1972/02/08,  5.04
1972/02/09,  5.29
1972/02/10,  5.80
1972/02/11,  5.66
1972/02/12,  5.29
1972/02/13,  5.04
1972/02/14,  4.95
1972/02/15,  4.84
1972/02/16,  5.24
1972/02/17,  5.12
1972/02/18,  5.52
1972/02/19,  7.56
1972/02/20,  9.09
1972/02/21,  9.85
1972/02/22,  9.09
1972/02/23,  8.07
1972/02/24,  8.07
1972/02/25,  7.56
1972/02/26,  7.08
1972/02/27,  7.56
1972/02/28,  7.56
1972/02/29,  6.63
1972/03/01, 10.41
1972/03/02, 12.71
1972/03/03, 18.53
1972/03/04, 24.24
1972/03/05, 24.49
1972/03/06, 26.43
1972/03/07, 28.50
1972/03/08, 29.98
1972/03/09, 32.86
1972/03/10, 34.35
1972/03/11, 31.44
1972/03/12, 30.01
1972/03/13, 28.03
1972/03/14, 28.51
1972/03/15, 30.80
1972/03/16, 34.23
1972/03/17, 38.51
1972/03/18, 39.92
1972/03/19, 38.40
1972/03/20, 38.79
1972/03/21, 39.92
1972/03/22, 34.23
1972/03/23, 27.15
1972/03/24, 24.27
1972/03/25, 22.79
1972/03/26, 24.27
1972/03/27, 18.69
1972/03/28, 16.99
1972/03/29, 14.14
1972/03/30, 13.76
1972/03/31, 13.84
1972/04/01, 14.25
1972/04/02, 15.18
1972/04/03, 17.67
1972/04/04, 22.82
1972/04/05, 28.58
1972/04/06, 26.93
1972/04/07, 24.02
1972/04/08, 21.27
1972/04/09, 21.19
1972/04/10, 19.93
1972/04/11, 19.82
1972/04/12, 19.99
1972/04/13, 21.72
1972/04/14, 21.08
1972/04/15, 21.44
1972/04/16, 28.55
1972/04/17, 27.69
1972/04/18, 23.85
1972/04/19, 21.47
1972/04/20, 19.20
1972/04/21, 17.11
1972/04/22, 18.59
1972/04/23, 21.36
1972/04/24, 27.55
1972/04/25, 22.87
1972/04/26, 25.73
1972/04/27, 32.95
1972/04/28, 55.79
1972/04/29, 57.24
1972/04/30, 52.23
1972/05/01, 55.49
1972/05/02, 72.57
1972/05/03, 76.96
1972/05/04, 77.02
1972/05/05, 65.65
1972/05/06, 70.05
1972/05/07, 74.19
1972/05/08, 64.35
1972/05/09, 61.10
1972/05/10, 56.92
1972/05/11, 71.14
1972/05/12, 81.55
1972/05/13, 98.77
1972/05/14, 116.04
1972/05/15, 118.11
1972/05/16, 114.73
1972/05/17, 103.22
1972/05/18, 84.72
1972/05/19, 74.50
1972/05/20, 54.41
1972/05/21, 44.50
1972/05/22, 34.90
1972/05/23, 43.41
1972/05/24, 69.39
1972/05/25, 90.74
1972/05/26, 105.02
1972/05/27, 133.71
1972/05/28, 139.53
1972/05/29, 139.98
1972/05/30, 143.81
1972/05/31, 143.90
1972/06/01, 133.96
1972/06/02, 115.34
1972/06/03, 107.14
1972/06/04, 105.72
1972/06/05, 77.31
1972/06/06, 89.87
1972/06/07, 105.01
1972/06/08, 114.84
1972/06/09, 124.90
1972/06/10, 86.56
1972/06/11, 70.58
1972/06/12, 59.32
1972/06/13, 69.42
1972/06/14, 73.95
1972/06/15, 70.67
1972/06/16, 65.63
1972/06/17, 60.84
1972/06/18, 55.78
1972/06/19, 53.51
1972/06/20, 53.77
1972/06/21, 45.05
1972/06/22, 36.49
1972/06/23, 32.29
1972/06/24, 28.31
1972/06/25, 27.27
1972/06/26, 22.65
1972/06/27, 22.45
1972/06/28, 23.22
1972/06/29, 24.35
1972/06/30, 26.67
1972/07/01, 23.70
1972/07/02, 22.23
1972/07/03, 17.55
1972/07/04, 16.99
1972/07/05, 14.38
1972/07/06, 13.14
1972/07/07, 11.86
1972/07/08,  9.60
1972/07/09,  8.32
1972/07/10,  9.09
1972/07/11,  8.32
1972/07/12,  8.07
1972/07/13,  6.82
1972/07/14,  5.04
1972/07/15,  6.06
1972/07/16,  8.58
1972/07/17,  8.49
1972/07/18,  6.80
1972/07/19,  6.31
1972/07/20,  5.04
1972/07/21,  4.53
1972/07/22,  3.54
1972/07/23,  3.28
1972/07/24,  1.93
1972/07/25,  2.09
1972/07/26,  1.95
1972/07/27,  1.95
1972/07/28,  2.01
1972/07/29,  1.64
1972/07/30,  1.92
1972/07/31,  2.01
1972/08/01,  2.86
1972/08/02,  2.77
1972/08/03,  2.58
1972/08/04,  2.49
1972/08/05,  2.38
1972/08/06,  2.27
1972/08/07,  2.01
1972/08/08,  2.20
1972/08/09,  1.93
1972/08/10,  1.93
1972/08/11,  1.81
1972/08/12,  1.81
1972/08/13,  1.81
1972/08/14,  1.93
1972/08/15,  2.03
1972/08/16,  2.01
1972/08/17,  1.64
1972/08/18,  1.81
1972/08/19,  1.73
1972/08/20,  1.81
1972/08/21,  2.01
1972/08/22,  2.10
1972/08/23,  2.01
1972/08/24,  1.93
1972/08/25,  1.95
1972/08/26,  2.10
1972/08/27,  1.81
1972/08/28,  1.93
1972/08/29,  1.95
1972/08/30,  2.27
1972/08/31,  1.76
1972/09/01,  2.52
1972/09/02,  3.03
1972/09/03,  2.49
1972/09/04,  2.77
1972/09/05,  3.54
1972/09/06, 21.46
1972/09/07, 15.01
1972/09/08,  8.32
1972/09/09,  6.31
1972/09/10,  5.38
1972/09/11,  3.28
1972/09/12,  3.96
1972/09/13,  2.49
1972/09/14,  1.93
1972/09/15,  2.01
1972/09/16,  1.64
1972/09/17,  1.64
1972/09/18,  1.25
1972/09/19,  0.96
1972/09/20,  0.96
1972/09/21,  0.79
1972/09/22,  0.68
1972/09/23,  0.79
1972/09/24,  0.76
1972/09/25,  1.02
1972/09/26,  1.50
1972/09/27,  1.50
1972/09/28,  1.27
1972/09/29,  1.27
1972/09/30,  1.02
1972/10/01,  1.70
1972/10/02,  2.55
1972/10/03,  1.36
1972/10/04,  1.73
1972/10/05,  1.81
1972/10/06,  2.10
1972/10/07,  2.10
1972/10/08,  2.66
1972/10/09,  2.86
1972/10/10,  4.25
1972/10/11,  5.10
1972/10/12,  5.66
1972/10/13,  3.06
1972/10/14,  2.77
1972/10/15,  2.49
1972/10/16,  2.83
1972/10/17,  2.27
1972/10/18,  2.58
1972/10/19,  3.14
1972/10/20,  3.34
1972/10/21,  3.62
1972/10/22,  3.40
1972/10/23,  2.97
1972/10/24,  7.08
1972/10/25,  6.80
1972/10/26,  3.68
1972/10/27,  2.66
1972/10/28,  2.66
1972/10/29,  2.27
1972/10/30,  2.01
1972/10/31,  1.81
1972/11/01,  1.93
1972/11/02,  1.81
1972/11/03,  1.73
1972/11/04,  1.81
1972/11/05,  2.10
1972/11/06,  2.21
1972/11/07,  4.25
1972/11/08,  4.53
1972/11/09,  4.53
1972/11/10,  4.25
1972/11/11,  3.68
1972/11/12,  3.04
1972/11/13,  3.06
1972/11/14,  5.10
1972/11/15,  5.66
1972/11/16,  5.66
1972/11/17,  5.95
1972/11/18,  5.66
1972/11/19,  5.95
1972/11/20,  5.10
1972/11/21,  5.95
1972/11/22,  5.10
1972/11/23,  5.10
1972/11/24,  4.53
1972/11/25,  5.66
1972/11/26,  6.23
1972/11/27,  5.66
1972/11/28,  7.64
1972/11/29,  6.23
1972/11/30,  5.10
1972/12/01,  3.71
